Team,Player,Min,Own,Opp,Net,On,Off,Net,Rating
MIN,Love,74%,30.9,17.7,13.3,18.7,-21.3,40,18.8
GSW,Lee,62%,21.2,12.7,8.4,20.5,-13.1,33.6,15.6
GSW,Iguodala,77%,21.1,12.8,8.3,15.5,-18.1,33.6,15.6
IND,Hibbert,62%,19.8,5.8,14,15.6,-0.5,16.1,14.7
NOH,Davis,74%,31.7,12.8,18.9,3.5,-2.7,6.2,14.7
IND,George,74%,22.5,8,14.5,13,-0.8,13.7,14.3
LAC,Paul,75%,28.7,16.1,12.6,8.5,-8.6,17,14.1
LAC,Griffin,79%,24.2,16.8,7.3,10.2,-17.2,27.4,14
GSW,Thompson,73%,22.8,13.2,9.6,13.6,-8.1,21.7,13.6
LAC,Redick,62%,20.8,15.1,5.7,15.4,-13.6,29,13.5
GSW,Curry,61%,24.6,16.1,8.6,16.4,-5.9,22.3,13.1
HOU,Harden,73%,22.2,6.7,15.5,4.7,-3.6,8.3,13.1
NYK,Anthony,83%,22.4,15.4,7,-1.3,-25.4,24,12.7
SAS,Diaw,50%,19.2,9.5,9.7,17.7,0.8,16.9,12.1
CHI,Deng,75%,18,12,6,10.9,-12.4,23.2,11.7
CHI,Butler,64%,17.4,4.4,13.1,7.6,0.3,7.3,11.1
BKN,Lopez,55%,28.7,13.1,15.6,-3.7,-5.8,2,11.1
SAC,Thomas,59%,24.3,13.9,10.4,0,-11.9,11.9,10.9
POR,Matthews,71%,19.2,8.7,10.5,8.2,-3.4,11.6,10.9
MIA,James,75%,32.2,12.2,20,5.5,13.6,-8.1,10.6
MIN,Martin,66%,22.1,9.8,12.4,10.3,4.2,6,10.3
WAS,Beal,81%,12.7,12.5,0.2,2,-31.2,33.2,10.1
SAS,Green,52%,15,7.7,7.3,16,2.1,13.9,9.5
POR,Aldridge,77%,20.4,11.4,9,7.2,-3,10.2,9.4
LAL,Hill,44%,27.2,18,9.2,1,-8.6,9.5,9.3
HOU,Casspi,40%,14.6,13.4,1.3,16.1,-6.6,22.8,8.4
ATL,Horford,69%,24.7,15.2,9.6,6.2,0.3,5.9,8.3
SAS,Parker,66%,21,11.1,9.9,10.7,6.7,3.9,7.9
MIN,Brewer,68%,12.9,13.4,-0.5,16.1,-8.3,24.5,7.8
CHI,Boozer,63%,23.4,15.8,7.6,8,0,8,7.7
WAS,Wall,74%,16.8,14.1,2.7,0.1,-17.5,17.7,7.7
BOS,Crawford,55%,19.4,10.3,9.1,-1.5,-6.1,4.6,7.6
MIA,Cole,50%,13.4,10.2,3.2,15.7,-0.6,16.3,7.6
POR,Batum,73%,17.6,11.1,6.5,7.5,-2.2,9.7,7.6
MEM,Randolph,61%,18.7,15.7,3,4,-12.6,16.6,7.5
MIL,Henson,53%,20.9,11.6,9.3,-7.5,-9.5,2,6.9
CLE,Thompson,73%,15.2,12.4,2.7,-2.8,-17.6,14.9,6.8
MIN,Rubio,70%,15.2,17.5,-2.3,15.7,-8.9,24.5,6.6
PHO,Dragic,43%,16.1,9.6,6.5,7,0,7,6.6
ATL,Teague,71%,21.7,16.6,5.1,7.1,-2.5,9.6,6.6
OKC,Jackson,48%,14.5,13.5,1,11.2,-6.3,17.6,6.5
SAS,Ginobili,51%,15.3,9.9,5.4,13.5,5.1,8.4,6.4
IND,West,61%,15.6,8.6,7,11.3,6.4,4.9,6.3
ATL,Millsap,66%,23.3,15.9,7.4,5.8,1.7,4.1,6.3
