Model Year,Mfr Name,Division,Carline,Displacement,Cylinders,City,Highway,Combined,Guzzler 
2014,aston martin,Aston Martin Lagonda Ltd,V8 Vantage,4.7,8,14,21,16,G
2014,aston martin,Aston Martin Lagonda Ltd,V8 Vantage,4.7,8,13,19,15,G
2014,aston martin,Aston Martin Lagonda Ltd,V8 Vantage S,4.7,8,14,21,16,G
2014,aston martin,Aston Martin Lagonda Ltd,V8 Vantage S,4.7,8,13,19,15,G
2014,Audi,Audi,R8,4.2,8,14,23,17,G
2014,Audi,Audi,R8,4.2,8,11,20,14,G
2014,Audi,Audi,R8,5.2,10,13,22,16,G
2014,Audi,Audi,R8,5.2,10,12,19,14,G
2014,Audi,Audi,R8 Spyder,4.2,8,14,23,17,G
2014,Audi,Audi,R8 Spyder,4.2,8,11,20,14,G
2014,Audi,Audi,R8 Spyder,5.2,10,13,22,16,G
2014,Audi,Audi,R8 Spyder,5.2,10,12,19,14,G
2014,Audi,Audi,TT Roadster quattro,2,4,22,31,26,
2014,BMW,BMW,Z4 sDrive28i,2,4,22,33,26,
2014,BMW,BMW,Z4 sDrive28i,2,4,22,34,26,
2014,BMW,BMW,Z4 sDrive35i,3,6,17,24,20,
2014,BMW,BMW,Z4 sDrive35i,3,6,19,26,21,
2014,BMW,BMW,Z4 sDrive35is,3,6,17,24,20,
2014,Bugatti,Bugatti,Veyron,8,16,8,15,10,G
2014,General Motors,Chevrolet,CORVETTE,6.2,8,16,28,20,
2014,General Motors,Chevrolet,CORVETTE,6.2,8,17,29,21,
2014,Ferrari,"Ferrari North America, Inc.",458 Italia,4.5,8,13,17,14,G
2014,Ferrari,"Ferrari North America, Inc.",458 Italia,4.5,8,13,17,15,G
2014,Ferrari,"Ferrari North America, Inc.",458 Spider,4.5,8,13,17,14,G
2014,Ferrari,"Ferrari North America, Inc.",458 Spider,4.5,8,13,17,15,G
2014,Ferrari,"Ferrari North America, Inc.",F12,6.3,12,11,16,13,G
2014,Ferrari,"Ferrari North America, Inc.",F12,6.3,12,12,16,13,G
2014,Honda,Honda,CR-Z,1.5,4,36,39,37,
2014,Honda,Honda,CR-Z,1.5,4,31,38,34,
2014,Jaguar Land Rover L,Jaguar,F-TYPE Convertible,3,6,20,28,23,
2014,Jaguar Land Rover L,Jaguar,F-TYPE S Convertible,3,6,19,27,22,
2014,Jaguar Land Rover L,Jaguar,F-TYPE V8 S Convertible,5,8,16,23,18,
2014,Lamborghini,Lamborghini,Aventador Coupe,6.5,12,11,18,13,G
2014,Lamborghini,Lamborghini,Aventador Roadster,6.5,12,10,16,12,G
2014,Lamborghini,Lamborghini,Aventador Veneno Coupe,6.5,12,11,17,13,G
2014,Lamborghini,Lamborghini,Gallardo Coupe,5.2,10,13,20,16,G
2014,Lamborghini,Lamborghini,Gallardo Coupe,5.2,10,12,20,15,G
2014,Lamborghini,Lamborghini,Gallardo Spyder,5.2,10,13,20,16,G
2014,Lamborghini,Lamborghini,Gallardo Spyder,5.2,10,12,20,14,G
2014,MAZDA,MAZDA,MX-5,2,4,21,28,23,
2014,MAZDA,MAZDA,MX-5,2,4,22,28,25,
2014,MAZDA,MAZDA,MX-5,2,4,21,28,24,
2014,Mercedes-Benz,Mercedes-Benz,SL 550,4.7,8,18,25,20,
2014,Mercedes-Benz,Mercedes-Benz,SL 63 AMG,5.5,8,16,25,19,
2014,Mercedes-Benz,Mercedes-Benz,SL 65 AMG,6,12,14,21,17,G
2014,Mercedes-Benz,Mercedes-Benz,SLK 250,1.8,4,23,33,26,
2014,Mercedes-Benz,Mercedes-Benz,SLK 250,1.8,4,22,32,26,
2014,Mercedes-Benz,Mercedes-Benz,SLK 350,3.5,6,21,29,24,
2014,Mercedes-Benz,Mercedes-Benz,SLK 55 AMG,5.5,8,19,28,22,
2014,Mercedes-Benz,Mercedes-Benz,SLS AMG Black Series Coupe,6.2,8,13,17,14,G
2014,Mercedes-Benz,Mercedes-Benz,SLS AMG Coupe,6.2,8,13,19,15,G
2014,Mercedes-Benz,Mercedes-Benz,SLS AMG GT Coupe,6.2,8,13,19,15,G
2014,Mercedes-Benz,Mercedes-Benz,SLS AMG GT Roadster,6.2,8,13,19,15,G
2014,Mercedes-Benz,Mercedes-Benz,SLS AMG Roadster,6.2,8,13,19,15,G
2014,Mercedes-Benz,Mercedes-Benz,Smart fortwo (Convertible),1,3,34,38,36,
2014,Mercedes-Benz,Mercedes-Benz,Smart fortwo (COUPE),1,3,34,38,36,
2014,BMW,Mini,Mini Cooper Clubvan,1.6,4,27,35,30,
2014,BMW,Mini,Mini Cooper Clubvan,1.6,4,28,35,31,
2014,BMW,Mini,Mini Cooper Coupe,1.6,4,28,36,31,
2014,BMW,Mini,Mini Cooper Coupe,1.6,4,29,37,32,
2014,BMW,Mini,Mini Cooper Roadster,1.6,4,27,35,30,
2014,BMW,Mini,Mini Cooper Roadster,1.6,4,28,35,31,
2014,BMW,Mini,Mini Cooper S Coupe,1.6,4,26,35,30,
2014,BMW,Mini,Mini Cooper S Coupe,1.6,4,26,35,30,
2014,BMW,Mini,Mini Cooper S Roadster,1.6,4,26,35,30,
2014,BMW,Mini,Mini Cooper S Roadster,1.6,4,26,35,30,
2014,BMW,Mini,Mini John Cooper Works Coupe,1.6,4,26,35,30,
2014,BMW,Mini,Mini John Cooper Works Coupe,1.6,4,26,35,30,
2014,BMW,Mini,Mini John Cooper Works Roadster,1.6,4,26,35,30,
2014,BMW,Mini,Mini John Cooper Works Roadster,1.6,4,26,35,30,
2014,Nissan,NISSAN,370Z,3.7,6,19,26,22,
2014,Nissan,NISSAN,370Z,3.7,6,18,26,21,
2014,Nissan,NISSAN,370Z Roadster,3.7,6,18,25,21,
2014,Nissan,NISSAN,370Z Roadster,3.7,6,17,25,20,
2014,Porsche,Porsche,911 GT3,3.8,6,15,20,17,G
2014,Porsche,Porsche,Boxster,2.7,6,22,32,26,
2014,Porsche,Porsche,Boxster,2.7,6,20,30,24,
2014,Porsche,Porsche,Boxster S,3.4,6,21,30,24,
2014,Porsche,Porsche,Boxster S,3.4,6,20,28,23,
2014,Porsche,Porsche,Cayman,2.7,6,22,32,26,
2014,Porsche,Porsche,Cayman,2.7,6,20,30,24,
2014,Porsche,Porsche,Cayman S,3.4,6,21,30,24,
2014,Porsche,Porsche,Cayman S,3.4,6,20,28,23,
2014,Chrysler Group LLC,SRT,Viper,8.4,10,12,19,15,G
2014,aston martin,Aston Martin Lagonda Ltd,DB9,5.9,12,13,19,15,G
2014,aston martin,Aston Martin Lagonda Ltd,Vanquish,5.9,12,13,19,15,G
2014,Ferrari,"Ferrari North America, Inc.",Ferrari California,4.3,8,13,19,15,G
2014,Ferrari,"Ferrari North America, Inc.",Ferrari California,4.3,8,14,19,16,G
2014,Chrysler Group LLC,FIAT,500,1.4,4,27,34,30,
2014,Chrysler Group LLC,FIAT,500,1.4,4,28,34,30,
2014,Chrysler Group LLC,FIAT,500,1.4,4,31,40,34,
2014,Chrysler Group LLC,FIAT,500 Abarth,1.4,4,28,34,30,
2014,Jaguar Land Rover L,Jaguar,XK,5,8,16,24,19,
2014,Jaguar Land Rover L,Jaguar,XK,5,8,15,22,18,
2014,Jaguar Land Rover L,Jaguar,XK Convertible,5,8,16,22,18,
2014,Jaguar Land Rover L,Jaguar,XK Convertible,5,8,15,22,17,
2014,Lotus,Lotus Cars Ltd,Evora,3.5,6,19,28,22,
2014,Lotus,Lotus Cars Ltd,Evora,3.5,6,19,28,22,
2014,Lotus,Lotus Cars Ltd,Evora,3.5,6,18,26,21,
2014,Lotus,Lotus Cars Ltd,Evora,3.5,6,17,26,20,
2014,BMW,Mini,Mini Cooper Convertible,1.6,4,27,35,30,
2014,BMW,Mini,Mini Cooper Convertible,1.6,4,28,35,31,
2014,BMW,Mini,Mini Cooper S Convertible,1.6,4,26,35,30,
2014,BMW,Mini,Mini Cooper S Convertible,1.6,4,26,35,30,
2014,BMW,Mini,Mini John Cooper Works Conv.,1.6,4,26,35,30,
2014,BMW,Mini,Mini John Cooper Works Conv.,1.6,4,26,35,30,
2014,Porsche,Porsche,911 Carrera,3.4,6,20,28,23,
2014,Porsche,Porsche,911 Carrera,3.4,6,19,27,22,
2014,Porsche,Porsche,911 Carrera 4,3.4,6,20,28,23,
2014,Porsche,Porsche,911 Carrera 4,3.4,6,19,27,22,
2014,Porsche,Porsche,911 Carrera 4 Cabriolet,3.4,6,20,27,22,
2014,Porsche,Porsche,911 Carrera 4 Cabriolet,3.4,6,19,26,21,
2014,Porsche,Porsche,911 Carrera 4S,3.8,6,19,26,22,
2014,Porsche,Porsche,911 Carrera 4S,3.8,6,18,26,21,
2014,Porsche,Porsche,911 Carrera 4S Cabriolet,3.8,6,19,26,21,
2014,Porsche,Porsche,911 Carrera 4S Cabriolet,3.8,6,18,26,21,
2014,Porsche,Porsche,911 Carrera Cabriolet,3.4,6,20,28,23,
2014,Porsche,Porsche,911 Carrera Cabriolet,3.4,6,19,27,22,
2014,Porsche,Porsche,911 Carrera S,3.8,6,19,27,22,
2014,Porsche,Porsche,911 Carrera S,3.8,6,19,27,22,
2014,Porsche,Porsche,911 Carrera S Cabriolet,3.8,6,19,27,22,
2014,Porsche,Porsche,911 Carrera S Cabriolet,3.8,6,19,27,22,
2014,Porsche,Porsche,911 Targa 4,3.4,6,19,26,22,
2014,Porsche,Porsche,911 Targa 4,3.4,6,18,26,21,
2014,Porsche,Porsche,911 Targa 4S,3.8,6,18,25,21,
2014,Porsche,Porsche,911 Targa 4S,3.8,6,18,26,21,
2014,Porsche,Porsche,911 Turbo,3.8,6,17,24,20,
2014,Porsche,Porsche,911 Turbo Cabriolet,3.8,6,17,24,20,
2014,Porsche,Porsche,911 Turbo S,3.8,6,17,24,20,
2014,Porsche,Porsche,911 Turbo S Cabriolet,3.8,6,17,24,20,
2014,Toyota,SCION,FR-S,2,4,25,34,28,
2014,Toyota,SCION,FR-S,2,4,22,30,25,
2014,Toyota,SCION,iQ,1.3,4,36,37,37,
2014,Subaru,Subaru,BRZ,2,4,25,34,28,
2014,Subaru,Subaru,BRZ,2,4,22,30,25,
